stocks,fx,bonds,total
-85958.71783386171,-15005790.195774138,576187.4314778,-14515561.4821302
-1218668.8445314895,-18019996.36035815,539777.2736551166,-18698887.931234524
-232143.48954379745,161005510.58899593,-1465555.0057547688,159307812.09369737
-867119.9757608045,-5460467.721305668,-213798.40661633015,-6541386.103682803
-498958.7657547444,-42429990.96285114,-574493.307188794,-43503443.035794675
-286852.9670255054,75292093.75835097,-9907.159070797265,74995333.63225466
-550416.8892605565,42103924.11059752,-483565.3215550706,41069941.89978189
-250410.18684541062,56188312.05317184,-630431.5695384219,55307470.296788014
165817.3365822062,-39786678.10887557,-845190.0973162502,-40466050.86960962
374974.3159135841,-44208854.38827646,315048.39252093434,-43518831.679841936
260428.8177275136,107277021.8362484,1416885.1760303825,108954335.83000629
169808.2935064733,-20154728.5773862,286468.17611573637,-19698452.10776399
-188191.13683298975,-31671745.314356208,717577.7682978213,-31142358.682891376
379632.88743405417,-37461757.7594918,-605322.1461738646,-37687447.018231615
92415.88989026658,-33120876.965216666,-87199.96385404468,-33115661.039180443
1144915.500165943,-53978665.260199726,-179852.52204921842,-53013602.282083005
253995.17809936777,-4453829.350142479,-1036785.1279498562,-5236619.299992967
-1162266.0085214674,115539812.79855824,-813609.188745074,113563937.60129169
1462142.6261500493,-25452992.795988142,797918.3621913269,-23192931.807646766
479744.9369978402,28762771.391093016,205817.0694437325,29448333.397534586
3445286.3518359475,-7977662.6293846965,1182449.3693941236,-3349926.9081546254
-529866.1277035866,-27300740.08595687,932291.883628048,-26898314.33003241
-973553.52313268,64156175.82286209,-546167.4726314694,62636454.82709794
281739.6098386571,-4021788.34836486,62350.34491793811,-3677698.3936082646
-359854.04909143783,8195105.540682375,300550.86983950436,8135802.361430442
272276.5909780804,-4386666.712154806,196752.94049973786,-3917637.1806769874
-405202.2997146603,-9780426.775206625,-2559677.7856134176,-12745306.860534703
-7300.292132034898,-699270.0645289421,940659.3653632104,234089.00870223343
-438572.08182182163,9598931.384616494,-50173.13813994825,9110186.164654724
126260.44740093313,59391923.05162579,-1204972.9348077103,58313210.56421901
164305.7169028744,-445497.76027312875,925894.754086107,644702.7107158527
1157964.5085849036,3365919.1998428106,2244486.673415281,6768370.381842995
-713311.0697306711,-23489160.886826396,-1080838.0172891691,-25283309.973846234
-337517.63141775876,-42006835.69131377,2139451.8091902137,-40204901.51354132
-257080.19154535234,6598611.136330575,286751.19008956105,6628282.134874783
-556580.7109703887,-59510675.11926997,-1047242.5416623354,-61114498.37190269
150403.0117377881,20256979.23493892,-821518.0602263808,19585864.186450325
1027693.3357275333,-5198947.968750328,499333.54852218926,-3671921.0845006052
269301.7438349966,95921768.47803646,656715.3890151232,96847785.61088659
200541.51706852764,-23667342.794542193,-59224.356664299965,-23526025.634137966
1086070.5071364362,1049249.8120542467,-250082.43174016476,1885237.887450518
-405572.3779112678,1986505.7932219803,-368675.1272328645,1212258.288077848
659968.4652880058,-24015547.579938024,1024061.5066350847,-22331517.608014934
-984809.3038857598,869759.4182943106,-830437.2927165478,-945487.1783079971
1100584.0988895074,83799571.28115433,-1272378.3153329194,83627777.06471092
-177890.80953093804,50172046.18196449,-660291.1927578971,49333864.17967565
36510.76487085223,91696058.07697713,-749257.8395525515,90983311.00229543
-776893.6013674159,23273520.437927455,-620969.6198660135,21875657.216694027
237436.41602871008,-35841836.9668048,-406588.7351190299,-36010989.285895124
22598.53062929213,37152649.95562196,-911713.3158470988,36263535.17040415
354859.3009903766,-5743861.852864087,74959.924649477,-5314042.627224233
-182326.48991491273,-11188626.783814728,-765947.3711450547,-12136900.644874696
1052403.6849297658,14446247.992621064,1585435.429534018,17084087.107084848
725479.4645121321,-25003133.47261727,6689.475623138249,-24270964.532482
410302.8968167063,-54285117.26491439,802444.6397672221,-53072369.72833046
-349936.9173397366,6401793.125968963,-141222.79570066184,5910633.4129285645
