ISIN,Полное наименование ЦБ,Объем эмиссии (млн),payment_date,Номинал,Валюта номинала,Непогашенный номинал,"Ставка купона,  % годовых",payment_amount,code
RU000A0JVW48,ОФЗ-ПД 26218 17/09/31,597608.211,2016-04-06,1000,RUB,1000,8.5,37.49,26218
RU000A0JVW48,ОФЗ-ПД 26218 17/09/31,597608.211,2016-10-05,1000,RUB,1000,8.5,42.38,26218
RU000A0JVW48,ОФЗ-ПД 26218 17/09/31,597608.211,2017-04-05,1000,RUB,1000,8.5,42.38,26218
RU000A0JVW48,ОФЗ-ПД 26218 17/09/31,597608.211,2017-10-04,1000,RUB,1000,8.5,42.38,26218
RU000A0JVW48,ОФЗ-ПД 26218 17/09/31,597608.211,2018-04-04,1000,RUB,1000,8.5,42.38,26218
RU000A0JVW48,ОФЗ-ПД 26218 17/09/31,597608.211,2018-10-03,1000,RUB,1000,8.5,42.38,26218
RU000A0JVW48,ОФЗ-ПД 26218 17/09/31,597608.211,2019-04-03,1000,RUB,1000,8.5,42.38,26218
RU000A0JVW48,ОФЗ-ПД 26218 17/09/31,597608.211,2019-10-02,1000,RUB,1000,8.5,42.38,26218
RU000A0JVW48,ОФЗ-ПД 26218 17/09/31,597608.211,2020-04-01,1000,RUB,1000,8.5,42.38,26218
RU000A0JVW48,ОФЗ-ПД 26218 17/09/31,597608.211,2020-09-30,1000,RUB,1000,8.5,42.38,26218
RU000A0JVW48,ОФЗ-ПД 26218 17/09/31,597608.211,2021-03-31,1000,RUB,1000,8.5,42.38,26218
RU000A0JVW48,ОФЗ-ПД 26218 17/09/31,597608.211,2021-09-29,1000,RUB,1000,8.5,42.38,26218
RU000A0JVW48,ОФЗ-ПД 26218 17/09/31,597608.211,2022-03-30,1000,RUB,1000,8.5,42.38,26218
RU000A0JVW48,ОФЗ-ПД 26218 17/09/31,597608.211,2022-09-28,1000,RUB,1000,8.5,42.38,26218
RU000A0JVW48,ОФЗ-ПД 26218 17/09/31,597608.211,2023-03-29,1000,RUB,1000,8.5,42.38,26218
RU000A0JVW48,ОФЗ-ПД 26218 17/09/31,597608.211,2023-09-27,1000,RUB,1000,8.5,42.38,26218
RU000A0JVW48,ОФЗ-ПД 26218 17/09/31,597608.211,2024-03-27,1000,RUB,1000,8.5,42.38,26218
RU000A0JVW48,ОФЗ-ПД 26218 17/09/31,597608.211,2024-09-25,1000,RUB,1000,8.5,42.38,26218
RU000A0JVW48,ОФЗ-ПД 26218 17/09/31,597608.211,2025-03-26,1000,RUB,1000,8.5,42.38,26218
RU000A0JVW48,ОФЗ-ПД 26218 17/09/31,597608.211,2025-09-24,1000,RUB,1000,8.5,42.38,26218
RU000A0JVW48,ОФЗ-ПД 26218 17/09/31,597608.211,2026-03-25,1000,RUB,1000,8.5,42.38,26218
RU000A0JVW48,ОФЗ-ПД 26218 17/09/31,597608.211,2026-09-23,1000,RUB,1000,8.5,42.38,26218
