factor,normal_loglik,normal_aic,student_df,student_loglik,student_aic,aic_gain_t_over_normal,selected
SBER,3051.260302801494,-6098.520605602988,2.0219567502991724,3519.2088041606785,-7032.417608321357,933.8970027183686,student_t
GAZP,2901.1048176289205,-5798.209635257841,2.0921365280960664,3351.710996639359,-6697.421993278718,899.2123580208772,student_t
LKOH,3265.9378705621057,-6527.875741124211,2.53091157166737,3516.000459385488,-7026.000918770976,498.1251776467643,student_t
ROSN,3054.361722995068,-6104.723445990136,2.9544180049932125,3436.8422745647017,-6867.684549129403,762.9611031392678,student_t
TATN,3086.045907027651,-6168.091814055302,2.68127867446799,3384.325438192943,-6762.650876385886,594.5590623305834,student_t
GMKN,829.0178030689574,-1654.0356061379148,2.706738120328862,3366.1349586081596,-6726.269917216319,5072.234311078404,student_t
CHMF,3064.066184864636,-6124.132369729272,3.350437158748584,3241.1412820962864,-6476.282564192573,352.150194463301,student_t
NLMK,3114.721952375072,-6225.443904750144,3.9050125094572055,3237.5469190415406,-6469.093838083081,243.6499333329375,student_t
NVTK,3016.629407929906,-6029.258815859812,3.0742725079292628,3206.577894711731,-6407.155789423462,377.89697356365014,student_t
MTSS,3221.9426281069773,-6439.885256213955,2.0456111507749473,3740.575157469123,-7475.150314938246,1035.2650587242915,student_t
Курс_USD,3176.6370601640833,-6349.274120328167,1.7781011013636956,3742.8424111688414,-7479.684822337683,1130.4107020095162,student_t
Курс_EUR,3308.98009242422,-6613.96018484844,2.1362410175405224,3785.997053228575,-7565.99410645715,952.0339216087104,student_t
IMOEX_CLOSE,3340.8314779512457,-6677.662955902491,2.4376589594818636,3849.890271020253,-7693.780542040506,1016.1175861380143,student_t
RTSI_CLOSE,3032.1277415542622,-6060.2554831085245,2.722345484586883,3499.599293841223,-6993.198587682446,932.9431045739211,student_t
Нефть_Brent,3199.235147494173,-6394.470294988346,4.177567919344013,3272.453336284442,-6538.906672568884,144.43637758053774,student_t
PC1,-1303.6862182104887,2611.3724364209775,1.8245247433246807,-478.6185511000108,963.2371022000216,1648.1353342209559,student_t
PC2,-568.6840838759817,1141.3681677519635,1.4223617547270597,650.8383645056867,-1295.6767290113735,2437.044896763337,student_t
PC3,-145.8746793137314,295.7493586274628,2.035595966830946,90.21251265174288,-174.42502530348577,470.1743839309486,student_t
