factor,mu_daily,sigma_unconditional,sigma_conditional_next,vol_ratio_cond_over_uncond,mvt_dof
SBER,8.955305840925664e-05,0.02367000863020017,0.01289590662042423,0.5448205288768064,5.0
GAZP,-0.00039616111487723545,0.026506471041197657,0.018157228502168696,0.6850111610084889,5.0
LKOH,4.590809363013913e-05,0.02003391424671428,0.024846402937805257,1.2402170954625236,5.0
ROSN,-5.486037352671303e-05,0.023587253712160392,0.01672226866633753,0.7089536098777102,5.0
TATN,0.00011159747677638553,0.022972785727310187,0.028988708602535624,1.2618717184165293,5.0
GMKN,-0.004061311978496178,0.12950188575497878,0.021558874988305384,0.16647537495396308,5.0
CHMF,-0.000273919362793136,0.023408689911106995,0.01937318446352401,0.8276065229234288,5.0
NLMK,-0.0005324875045796488,0.022502920441396276,0.01984729783869636,0.8819876464650053,5.0
NVTK,-4.308702576118217e-05,0.024198426271624475,0.02217329755973002,0.9163115531083458,5.0
MTSS,-0.0003446298224513968,0.020748398140293008,0.011637340769904529,0.5608789985239886,5.0
Курс_USD,3.01969633008864e-05,0.021479113893814895,0.009769589738897334,0.454841376939231,5.0
Курс_EUR,-1.1052166614680484e-05,0.019388817762405513,0.010101670578926353,0.5210049783702267,5.0
PC1,-1.1050431349301714e-17,0.6600721847208736,0.3783013190799686,0.5731211340770886,5.0
PC2,-2.7626078373254284e-18,0.37676395389161954,0.0893096038685759,0.23704391820419965,5.0
PC3,1.0359779389970357e-18,0.27131310228802524,0.26030152275557367,0.9594137568750303,5.0
