,PC1,PC2,PC3
0 years,-0.027402217783911845,-0.9991452456776813,-0.011135996712277394
0.25 years,-0.4317724025233839,-0.0012103320771161446,-0.43280622432813787
0.5 years,-0.4153472510495168,0.012820410948892785,-0.2883515239774013
0.75 years,-0.3976862312936449,0.019409956403564067,-0.17069175400539113
1 year,-0.3790732369328066,0.021781749453875985,-0.07546232008405562
2 years,-0.3182552555106761,0.018092973845828465,0.14272225332398808
3 years,-0.2781026926393659,0.01225151446397182,0.2281243812874026
5 years,-0.2327129344985125,0.0042232534464987925,0.2818270649228427
7 years,-0.20035497542190142,-0.0007147773584812141,0.29899987951258716
10 years,-0.15776560040038734,-0.004944175152035095,0.3135662792793937
15 years,-0.1258978044703604,-0.007040161684506656,0.3318118027753414
20 years,-0.1147283269672031,-0.0078284555381782,0.343855353034605
30 years,-0.10784128237629767,-0.007788686410933077,0.3559223771641076
