instrument,bucket,price_or_rate,quantity,market_value_rub,comment
SBER,Акции,305.2,3276.5399737876805,1000000.0,количество рассчитано как 1 млн руб. / цена
GAZP,Акции,127.8,7824.726134585289,1000000.0,количество рассчитано как 1 млн руб. / цена
LKOH,Акции,5529.5,180.8481779546071,1000000.0,количество рассчитано как 1 млн руб. / цена
ROSN,Акции,406.3,2461.235540241201,1000000.0,количество рассчитано как 1 млн руб. / цена
TATN,Акции,595.4,1679.5431642593214,1000000.0,количество рассчитано как 1 млн руб. / цена
GMKN,Акции,131.1,7627.765064836003,1000000.0,количество рассчитано как 1 млн руб. / цена
CHMF,Акции,944.4,1058.873358746294,1000000.0,количество рассчитано как 1 млн руб. / цена
NLMK,Акции,108.0,9259.25925925926,1000000.0,количество рассчитано как 1 млн руб. / цена
NVTK,Акции,1183.0,845.30853761623,1000000.0,количество рассчитано как 1 млн руб. / цена
MTSS,Акции,215.0,4651.162790697675,1000000.0,количество рассчитано как 1 млн руб. / цена
26219,ОФЗ,95.748,10444.082382921837,10000000.0,цена в % от номинала 1000 руб.
26236,ОФЗ,83.23,12014.898474107893,10000000.0,цена в % от номинала 1000 руб.
26218,ОФЗ,78.0,12820.51282051282,10000000.0,цена в % от номинала 1000 руб.
26221,ОФЗ,70.897,14104.969180642338,10000000.0,цена в % от номинала 1000 руб.
26233,ОФЗ,58.5,17094.017094017094,10000000.0,цена в % от номинала 1000 руб.
Курс_USD,Валюта,76.83787536621094,1301441.5029488762,100000000.0,валютная сумма рассчитана как 100 млн руб. / курс
Курс_EUR,Валюта,89.13999938964844,1121830.8355924524,100000000.0,валютная сумма рассчитана как 100 млн руб. / курс
