,SBER,GAZP,LKOH,ROSN,TATN,GMKN,CHMF,NLMK,NVTK,MTSS,Курс_USD,Курс_EUR,IMOEX_CLOSE,RTSI_CLOSE,Нефть_Brent,PC1,PC2,PC3
SBER,1.0,0.6222891425921178,0.6286704780133336,0.7336955841553334,0.6625561101589615,0.08148266089645162,0.5819369799703044,0.5915144179031405,0.6575180522520079,0.5489735383610852,0.06683821723666646,-0.03302374828316728,0.7932911732578799,0.6989420667381876,0.04514633901557962,0.43603999640972935,-0.020235545304605456,-0.1496936619163928
GAZP,0.6222891425921178,1.0,0.5771707394676254,0.6204789510748085,0.6141149839019869,0.08159089543130053,0.49380887981258864,0.5110638838154752,0.5602994333134962,0.4458247778958388,0.0015417520419023555,-0.04693857451359833,0.7017878328639457,0.5701923017077984,0.06290448714387895,0.31674323529346,-0.028564766224962637,-0.14548490594876576
LKOH,0.6286704780133336,0.5771707394676254,1.0,0.7059085686211366,0.6659948272388864,0.06488014652556735,0.5049344065692191,0.5240622074640019,0.6369018888621548,0.463081216714019,-0.014638961904857412,-0.010384018719083352,0.7035481183231295,0.5351986393032987,0.11144523909950456,0.3295641104648999,-0.012074431912023322,-0.12610943743128714
ROSN,0.7336955841553334,0.6204789510748085,0.7059085686211366,1.0,0.7627547704328533,0.09320897771734284,0.5859125794652023,0.5904481152735388,0.7027592647382189,0.5065699270390334,0.009582490420292925,-0.012747256900705141,0.7798503724514908,0.6251949775046789,0.11521526526685281,0.4761733337087072,-0.012503290088237053,-0.15965945022451544
TATN,0.6625561101589615,0.6141149839019869,0.6659948272388864,0.7627547704328533,1.0,0.08717281602489797,0.533188941309807,0.5510922054614069,0.6704043129544262,0.48870157240303413,0.03240416827075403,0.0402745005090124,0.728058480239117,0.5830154913000671,0.13716364491394156,0.3932756680692213,-0.018126145629336916,-0.14025115667371543
GMKN,0.08148266089645162,0.08159089543130053,0.06488014652556735,0.09320897771734284,0.08717281602489797,1.0,0.075510950347677,0.09859981446245719,0.09376063879337614,0.060370333827364314,0.0020823997318811663,0.007161615127221825,0.08065148711696994,0.06253654455183896,0.023032627735768408,0.03855626001605596,0.008862191840205437,-0.02874145007278138
CHMF,0.5819369799703044,0.49380887981258864,0.5049344065692191,0.5859125794652023,0.533188941309807,0.075510950347677,1.0,0.8012707423725698,0.5479889176644941,0.4942035181984702,-0.0032303415551490806,0.03494065285244417,0.6057442369257082,0.5011928376717666,0.07758440114914074,0.28392637726335357,-0.02737491929300692,-0.14597343960721243
NLMK,0.5915144179031405,0.5110638838154752,0.5240622074640019,0.5904481152735388,0.5510922054614069,0.09859981446245719,0.8012707423725698,1.0,0.5727488701717114,0.5277496534660978,0.006956123807363039,0.026218109177222598,0.5956632798377891,0.46344671195977905,0.09854410111011767,0.26739741294126285,-0.009771321841402805,-0.16290234673599882
NVTK,0.6575180522520079,0.5602994333134962,0.6369018888621548,0.7027592647382189,0.6704043129544262,0.09376063879337614,0.5479889176644941,0.5727488701717114,1.0,0.46020195979714296,0.002248489721356492,0.020536329437848257,0.6720790929790899,0.5499295660071973,0.08618734195288962,0.3408937299077435,-0.028116085990414617,-0.144716105300909
MTSS,0.5489735383610852,0.4458247778958388,0.463081216714019,0.5065699270390334,0.48870157240303413,0.060370333827364314,0.4942035181984702,0.5277496534660978,0.46020195979714296,1.0,0.0005247793624905903,-0.005538446518633756,0.5621217378512756,0.509265292912089,0.04830602536086356,0.3607847475281257,0.0068723562311532975,-0.1243716726257448
Курс_USD,0.06683821723666646,0.0015417520419023555,-0.014638961904857412,0.009582490420292925,0.03240416827075403,0.0020823997318811663,-0.0032303415551490806,0.006956123807363039,0.002248489721356492,0.0005247793624905903,1.0,0.06480067855395069,0.02681134548638451,0.00912462759618004,-0.008382155519681505,-0.029958922524663204,-0.007388831123603448,0.022680254087421012
Курс_EUR,-0.03302374828316728,-0.04693857451359833,-0.010384018719083352,-0.012747256900705141,0.0402745005090124,0.007161615127221825,0.03494065285244417,0.026218109177222598,0.020536329437848257,-0.005538446518633756,0.06480067855395069,1.0,-0.013145016218685744,-0.018743797857257192,0.09142101682294801,-0.051761340215143115,0.007645893103222545,0.06608303264259692
IMOEX_CLOSE,0.7932911732578799,0.7017878328639457,0.7035481183231295,0.7798503724514908,0.728058480239117,0.08065148711696994,0.6057442369257082,0.5956632798377891,0.6720790929790899,0.5621217378512756,0.02681134548638451,-0.013145016218685744,1.0,0.8599950112495851,0.04357356977592534,0.5826553605674389,-0.030861239483480248,-0.1847019377426886
RTSI_CLOSE,0.6989420667381876,0.5701923017077984,0.5351986393032987,0.6251949775046789,0.5830154913000671,0.06253654455183896,0.5011928376717666,0.46344671195977905,0.5499295660071973,0.509265292912089,0.00912462759618004,-0.018743797857257192,0.8599950112495851,1.0,0.048887311750523986,0.5598465776708219,-0.02856949059885856,-0.18248858704034562
