factor,group,source_columns,transformation,used_in_model,comment
SBER,Акции,SBER,лог-доходность,да,цена акции
GAZP,Акции,GAZP,лог-доходность,да,цена акции
LKOH,Акции,LKOH,лог-доходность,да,цена акции
ROSN,Акции,ROSN,лог-доходность,да,цена акции
TATN,Акции,TATN,лог-доходность,да,цена акции
GMKN,Акции,GMKN,лог-доходность,да,цена акции
CHMF,Акции,CHMF,лог-доходность,да,цена акции
NLMK,Акции,NLMK,лог-доходность,да,цена акции
NVTK,Акции,NVTK,лог-доходность,да,цена акции
MTSS,Акции,MTSS,лог-доходность,да,цена акции
Курс_USD,Валюта,Курс_USD,лог-доходность курса RUB,да,USD/RUB или EUR/RUB
Курс_EUR,Валюта,Курс_EUR,лог-доходность курса RUB,да,USD/RUB или EUR/RUB
PC1-PC3,Процентная кривая,"0 years, 0.25 years, 0.5 years, 0.75 years, 1 year, 2 years, 3 years, 5 years, 7 years, 10 years, 15 years, 20 years, 30 years",дневные изменения ставок + PCA,да,первые 3 компоненты кривой
26219_Price,ОФЗ,26219_Price,рыночная цена для фактического P&L,для backtesting,модельный риск идет через кривую
26236_Price,ОФЗ,26236_Price,рыночная цена для фактического P&L,для backtesting,модельный риск идет через кривую
26218_Price,ОФЗ,26218_Price,рыночная цена для фактического P&L,для backtesting,модельный риск идет через кривую
26221_Price,ОФЗ,26221_Price,рыночная цена для фактического P&L,для backtesting,модельный риск идет через кривую
26233_Price,ОФЗ,26233_Price,рыночная цена для фактического P&L,для backtesting,модельный риск идет через кривую
IMOEX_CLOSE,Рыночный индикатор,IMOEX_CLOSE,лог-доходность,аналитика,для статистики и корреляций
RTSI_CLOSE,Рыночный индикатор,RTSI_CLOSE,лог-доходность,аналитика,для статистики и корреляций
Нефть_Brent,Рыночный индикатор,Нефть_Brent,лог-доходность,аналитика,для статистики и корреляций
