factor,lags,ljungbox_p_returns,ljungbox_p_squared_returns,returns_autocorrelated_5pct,vol_clustering_5pct
SBER,10,0.00033228576265723536,1.5024913944064722e-09,True,True
GAZP,10,0.9935982251320916,0.007013433907869357,False,True
LKOH,10,0.6493552350142693,1.663215025564516e-05,False,True
ROSN,10,0.0006369531515540186,0.0013678259608647983,True,True
TATN,10,2.127044122164286e-05,7.608046541759708e-16,True,True
GMKN,10,0.9999877269098969,0.9999999999999919,False,False
CHMF,10,0.23529473290528266,5.066664583492429e-05,False,True
NLMK,10,0.08179319383469383,2.4975918650266127e-19,False,True
NVTK,10,0.001009363249628173,3.257946024689269e-14,True,True
MTSS,10,0.7284958160333325,0.003405558959500972,False,True
Курс_USD,10,1.4730374244925e-17,2.5303751023896955e-105,True,True
Курс_EUR,10,5.703134982103497e-07,5.1783667127613914e-15,True,True
IMOEX_CLOSE,10,0.001066766884482645,3.1057936968253466e-08,True,True
RTSI_CLOSE,10,0.0011242701979269994,2.9798589252745294e-09,True,True
Нефть_Brent,10,0.02033094650401664,3.5706508597966396e-34,True,True
