factor,change_type,ADF_level_p,KPSS_level_p,level_stationary,ADF_change_p,KPSS_change_p,change_stationary,integration_order
0 years,difference,0.4894913741287086,0.01,False,0.0,0.1,True,I(1)
0.25 years,difference,0.45619439285094365,0.01,False,4.831111877890199e-12,0.1,True,I(1)
0.5 years,difference,0.43613084899597965,0.01,False,1.6128511405835285e-09,0.1,True,I(1)
0.75 years,difference,0.4616883404924675,0.01,False,1.4762966564521948e-11,0.1,True,I(1)
1 year,difference,0.45791703482727336,0.01,False,2.5823892008713914e-11,0.1,True,I(1)
2 years,difference,0.4605502206276437,0.01,False,1.4604649024392112e-10,0.1,True,I(1)
3 years,difference,0.46981927007602703,0.01,False,3.131961414532205e-10,0.1,True,I(1)
5 years,difference,0.49076671486029283,0.01,False,1.8672091617040997e-10,0.1,True,I(1)
7 years,difference,0.5066724071418421,0.01,False,2.0100700700960258e-10,0.1,True,I(1)
10 years,difference,0.503716583797812,0.01,False,1.4134844042174712e-10,0.1,True,I(1)
15 years,difference,0.508892559462462,0.01,False,4.725771451526241e-24,0.1,True,I(1)
20 years,difference,0.4982580236355275,0.01,False,2.0411663401347363e-25,0.1,True,I(1)
30 years,difference,0.489478737335085,0.01,False,2.6468821212949766e-29,0.1,True,I(1)
SBER,log-return,0.5154334807134361,0.01,False,2.2173241964992823e-30,0.1,True,I(1)
GAZP,log-return,0.5570658143149931,0.01,False,0.0,0.1,True,I(1)
LKOH,log-return,0.3532447833513169,0.01,False,0.0,0.1,True,I(1)
ROSN,log-return,0.19706977367116707,0.04047709296864888,False,2.609401197454825e-30,0.1,True,I(1)
TATN,log-return,0.45411520217945994,0.01,False,8.31329849961218e-13,0.1,True,I(1)
GMKN,log-return,0.7786895311623756,0.01,False,0.0,0.1,True,I(1)
CHMF,log-return,0.5401088916981136,0.011545026039683529,False,0.0,0.1,True,I(1)
NLMK,log-return,0.48632445725276935,0.01,False,0.0,0.1,True,I(1)
NVTK,log-return,0.19647055806626634,0.01,False,3.0772063416064407e-27,0.1,True,I(1)
MTSS,log-return,0.22291757780808008,0.01,False,0.0,0.1,True,I(1)
Курс_USD,log-return,0.19065689634693905,0.01,False,3.7058303841359736e-16,0.1,True,I(1)
Курс_EUR,log-return,0.17180766361933347,0.01,False,3.5429714423132874e-14,0.1,True,I(1)
IMOEX_CLOSE,log-return,0.35083420806579013,0.01,False,0.0,0.1,True,I(1)
RTSI_CLOSE,log-return,0.29039267229902516,0.01,False,1.8384269020697365e-09,0.1,True,I(1)
Нефть_Brent,log-return,0.2575889590210941,0.01,False,5.311238140387713e-22,0.1,True,I(1)
