factor,slope_per_day,slope_per_year,t_stat,p_value,r_squared,significant_trend_5pct
0 years,0.012464067309496429,3.1409449619931,53.608134863531184,0.0,0.6873828076858326,True
0.25 years,0.010843651114954509,2.732600080968536,47.76760093171735,5.93030681586363e-289,0.6358056997920185,True
0.5 years,0.010556903883862849,2.6603397787334377,49.405110898227726,2.850725921630232e-301,0.6512681203898462,True
0.75 years,0.010326310692228556,2.602230294441596,50.395726433149775,1.1545804751956163e-308,0.6602308305239147,True
1 year,0.01013104217805898,2.5530226288708633,51.24399542251307,0.0,0.6676792293971444,True
2 years,0.009518822991190886,2.3987433937801033,55.110350846693606,0.0,0.6991356725250316,True
3 years,0.009027869301780393,2.2750230640486593,59.68815372222293,0.0,0.7316043034643307,True
5 years,0.008308808348479935,2.0938197038169437,69.98834653540378,0.0,0.7893759301729842,True
7 years,0.007841278609502617,1.9760022095946594,79.7847741857899,0.0,0.82965379873154,True
10 years,0.0074097139559336205,1.8672479168952725,90.83029872208999,0.0,0.8632436516534188,True
15 years,0.007019663466428151,1.7689551935398942,98.98208289315214,0.0,0.8822994674907432,True
20 years,0.006826860496090914,1.7203688450149102,100.2224969196264,0.0,0.8848615274617695,True
30 years,0.00667049604223076,1.6809650026421517,96.41725654816459,0.0,0.8767363407600647,True
SBER,0.04651554166287032,11.72191649904332,9.584390876933922,4.4973291117284924e-21,0.06566812437561986,True
GAZP,-0.14416593397827462,-36.3298153625252,-49.38242215742319,4.215078049363008e-301,0.6510594407637955,True
LKOH,0.9292365272640706,234.16760487054577,11.716151288087692,3.220189892848258e-30,0.09504342815953859,True
ROSN,-0.018936971232094056,-4.772116750487702,-2.829549118644672,0.004732636685444983,0.006088448337676694,True
TATN,0.18389682776573435,46.34200059696506,25.75877004387156,1.1422892379679107e-118,0.33672136068152025,True
GMKN,-23.5842670656278,-5943.235300538206,-91.28230943866448,0.0,0.864411492161517,True
CHMF,-0.22190666618658358,-55.92047987901906,-9.625481204579264,3.098527283453396e-21,0.06619504576556365,True
NLMK,-0.07509045550874154,-18.922794788202868,-25.490876062484027,1.1095563085303792e-116,0.3320675706944012,True
NVTK,-0.3326585923191387,-83.82996526442295,-19.057392139601326,1.2118055271572394e-71,0.2174515818162165,True
MTSS,-0.07849195030755365,-19.77997147750352,-30.684870380779135,3.5370888716951127e-156,0.41873943251089846,True
Курс_USD,0.015250366058773137,3.8430922468108304,19.200158118610208,1.4266100366260325e-72,0.22000234893763088,True
Курс_EUR,0.0138562594647628,3.491777385120226,14.288286674808816,3.836420022619032e-43,0.1350987276052934,True
